year,Médiane,Médiane privé,Médiane public,Chérie FM,Europe 1,France Bleu,France Culture,France Info,France Inter,France Musique,Fun Radio,MOUV,NRJ,Nostalgie,RFM,RMC,RTL,RTL 2,Radio Classique,Radio France Internationale,Rire et Chansons,Skyrock,Sud Radio,Virgin Radio
2007,26.71814010085881,25.83750060826101,28.209414779455166,43.82909946847824,25.709347760436835,42.864537056582655,26.59055370814567,28.089416271469275,28.329413287441056,21.87046324729297,28.5736157101747,,20.88131755806668,25.96565345608518,26.84572649357195,18.22860050469918,24.28470888397136,38.56576958115698,,31.821396116907234,,20.17928647799053,,
2008,27.129062426986607,26.119671246714194,29.678427925191613,50.75954720529548,26.119671246714194,40.06194043149034,27.129062426986607,29.582513003275302,29.774342847107928,17.468310298171406,26.476467642499657,,24.153230992610105,28.648606972742304,27.70657829451668,17.594692002866335,24.06162365042101,42.9131466968332,,31.32248199821693,,18.748257588765544,,22.250873228958675
2009,28.755137364494075,25.79677322674547,29.144805767155134,49.79819127911387,24.716751505972905,41.83864524683047,26.945690440912195,28.94744414915868,29.34216738515159,17.72553500726995,28.755137364494075,,22.873809154005162,31.68708465385177,31.67370532533415,17.80156646626208,25.35209773752547,43.51915716354976,41.32069722506462,33.597015984527545,23.957208220270797,18.430940790315198,,25.79677322674547
2010,29.41001824649783,28.50426657382435,29.87412791663905,47.86171147727033,26.788074394728014,37.835431325742064,28.281798709122015,29.41001824649783,30.33823758678027,21.412089273779372,28.50426657382435,,27.912544856010562,30.831283985723434,31.49302400465208,17.28419853429852,26.2622279445829,44.31406490568503,47.160545585583264,32.139071703726806,27.514549315802732,18.32725256417883,,29.86622299325076
2011,28.92698701665687,28.11520176567027,30.192746058472824,47.89312488280211,28.11520176567027,38.10511972167073,29.683102058648203,28.92698701665687,32.600849147227876,24.49339933535005,28.214810589095592,,26.8145600062429,33.914447526045926,34.70046327021482,16.695142551149637,26.74848554755991,47.52411321313089,40.07680886148119,30.702390058297446,25.473899930018014,16.95038847805236,,26.840395690966464
2012,29.600572125581937,28.16326562527831,29.719769890050102,51.67939328181238,30.3944202898952,36.385819390069585,29.600572125581937,29.719769890050102,31.42326175599931,21.60298351128581,29.377299601132083,26.23296576789569,25.85191813053646,34.51571922363561,31.30873837981259,15.9058792411861,26.949231649424537,47.64137506080211,39.69182292459416,30.7266213203484,25.840284389974716,16.255599628618203,21.88619827266705,25.10774167525407
2013,29.725572584690106,29.71206166905784,29.725572584690106,53.994631494520675,32.34492706030503,35.096331591026754,29.725572584690106,29.617374003871642,31.12261350336268,29.34800454820819,27.572274509385824,28.15268798010993,27.684438400583822,39.912685715584416,34.412648996403135,17.558776296898394,28.652928057014865,46.37625287256851,39.39111929163978,32.58200527647552,27.199644800979385,16.494821864963463,25.67901722841302,30.771195281100816
2014,31.354501378975876,29.396890297377503,32.391314078634295,50.16715113747404,31.354501378975876,33.50683558750187,31.232232015970535,30.98961664238808,32.391314078634295,29.739433817957288,25.247793419195208,35.399785123128844,26.146997435785877,40.759824483396926,33.281553827772285,17.117970959263083,27.439279215779134,43.83859187598957,36.375787945700175,36.574286484434865,25.061668538047133,16.2590744329485,27.187305781263554,31.841109677286195
2015,30.96508028675759,29.274950418069047,34.046125314060546,51.34588072254801,32.01097200927028,34.602806975363535,30.96508028675759,30.072238169144764,34.49586923832415,27.370124536121175,28.304605776860075,35.8636742329785,26.99314233226216,38.20202595062096,32.61553587236187,17.38950401589103,29.353730333917632,44.64418747476903,36.033582825158774,34.046125314060546,26.319517979720192,15.792457941788554,29.196170502220458,28.038017087016907
2016,32.91718728205674,32.61332314180003,32.91718728205674,51.082750713170796,33.52951172844148,37.48099528101678,32.91718728205674,30.30795133603525,33.62817265312824,32.443655330048436,34.42983726934749,31.796388990630692,27.012561840682647,39.18277462212838,33.731666013811726,16.97699008271848,27.841827769821002,41.670753721717155,36.335138441020234,34.622365684111,26.749529996237804,14.552382300002401,31.69713455515858,26.448089344793175
2017,33.83802179503881,33.20179586024517,34.09056055397978,53.13877039195003,37.1380570630657,39.23634885935915,34.494712331990804,30.05987410506421,32.76972594128281,36.04223102779012,35.90213758981644,26.299706311581737,26.288618635570383,39.53156808124542,35.569804696453396,16.60781220844187,29.001716992476766,43.50917278723269,33.83802179503881,34.09056055397978,27.21705178498765,15.539831653807589,32.56556992545153,25.182503383358874
2018,34.40463120557786,33.64307860813139,34.40463120557786,52.1996786821371,39.0663920173479,36.5967376094431,34.713762116875316,30.166324498065926,34.40463120557786,36.053083935296264,35.374055617799904,22.784699940846355,25.814171299401828,37.39016325648808,34.80108870241392,16.56291722930289,29.634943854878344,44.42026766101485,36.55207267371734,33.17743786833965,26.233009082679683,15.43448971645624,32.48506851384886,24.457731833926807
